Price,Size,Address,Price Per Square Meter,Price Per Square Meter Integer,Latitude,Longitude
€ 349.000,58 m²,"Bilocale Ripa di Porta Ticinese 101, Navigli - Darsena, Milano",€6017 / m^2,6017,45.4501462,9.1671683
€ 419.000,110 m²,"Quadrilocale via San Vigilio 11, Cantalupa - San Paolo, Milano",€3809 / m^2,3809,45.4258105,9.1593707
€ 715.000,120 m²,"Trilocale via Eleuterio Pagliano 1/a, Monte Rosa - Lotto, Milano",€5958 / m^2,5958,45.4754145,9.1477965
€ 990.000,141 m²,"Appartamento via Fabio Filzi 41, Centrale, Milano",€7021 / m^2,7021,45.4877856,9.2026865
€ 1.260.000,375 m²,"Attico via Giuseppe Ripamonti 227, Vigentino - Fatima, Milano",€3360 / m^2,3360,45.4289309,9.2027289
€ 770.000,113 m²,"Trilocale via Renato Birolli 14, Maggiolina, Milano",€6814 / m^2,6814,45.4960246,9.1983342
€ 4.500.000,347 m²,"Appartamento da ristrutturare, quarto piano, Palestro, Milano",€12968 / m^2,12968,45.4779296,9.2058728
€ 230.000,63 m²,"Trilocale via Derna 15, Cimiano, Milano",€3651 / m^2,3651,45.499573,9.2364477
€ 2.590.000,215 m²,"Quadrilocale piazza Risorgimento, Piave - Tricolore, Milano",€12047 / m^2,12047,45.4696528,9.2118103
€ 795.000,120 m²,"Quadrilocale piazza 6 Febbraio 4, Sempione, Milano",€6625 / m^2,6625,45.4766964,9.1608977
€ 1.270.000,110 m²,"Trilocale via dei Piatti 4, Carrobbio, Milano",€11545 / m^2,11545,45.4562949,9.175643
€ 1.200.000,116 m²,"Trilocale via Andrea Massena 15, Arco della Pace, Milano",€10345 / m^2,10345,45.4762107,9.1692278
€ 1.550.000,170 m²,"Quadrilocale via Edmondo De Amicis, Corso Genova, Milano",€9118 / m^2,9118,45.4611009,9.1738022
€ 220.000,53 m²,"Bilocale viale Omero 26, Corvetto, Milano",€4151 / m^2,4151,45.4327134,9.2239133
€ 800.000,70 m²,"Bilocale via Alessio di Tocqueville, Garibaldi - Corso Como, Milano",€11429 / m^2,11429,45.4816567,9.1864769
€ 495.000,70 m²,"Bilocale via Crema 29, Porta Romana - Medaglie d'Oro, Milano",€7071 / m^2,7071,45.4498449,9.202843
€ 320.000,82 m²,"Trilocale via Casoretto 45, Casoretto, Milano",€3902 / m^2,3902,45.4891234,9.228336
€ 812.000,123 m²,"Trilocale via dei Rospigliosi 41, San Siro, Milano",€6602 / m^2,6602,45.4760239,9.1277604
da € 185.000,da 39 m²,Appartamenti di nuova costruzione a Milano,€4744 / m^2,4744,41.9455546,11.6786466
€ 480.000,80 m²,"Trilocale viale Zara 13, Zara, Milano",€6000 / m^2,6000,45.4910966,9.1914229
€ 345.000,49 m²,"Bilocale via Plinio 29, Buenos Aires, Milano",€7041 / m^2,7041,45.478708,9.2113306
€ 819.000,118 m²,"Trilocale via dei Rospigliosi 41, San Siro, Milano",€6941 / m^2,6941,45.4760239,9.1277604
€ 459.000,88 m²,"Trilocale via dei Benedettini 22, Bande Nere, Milano",€5216 / m^2,5216,45.4588277,9.13474
€ 920.000,142 m²,"Quadrilocale corso Genova 1, Corso Genova, Milano",€6479 / m^2,6479,45.4572491,9.1758459
€ 841.000,118 m²,"Trilocale via dei Rospigliosi 41, San Siro, Milano",€7127 / m^2,7127,45.4760239,9.1277604
€ 1.980.000,300 m²,"Terratetto unifamiliare via Luigi Canonica 63, Paolo Sarpi, Milano",€6600 / m^2,6600,45.479844,9.1720126
